feature_set,train_cohort,test_cohort,cell_type,status,reason,train_node_dim,test_node_dim,train_global_dim,test_global_dim,train_edge_dim,test_edge_dim
imaging_demographics,AD_DECODE,HABS,external,ok,,3.0,3.0,6.0,6.0,1.0,1.0
imaging_demographics,AD_DECODE,AD_DECODE,diagonal_oof,ok,,,,,,,
imaging_only,ADNI,ADNI,diagonal_oof,ok,,,,,,,
imaging_only,ADNI,ADRC,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,ADNI,HABS,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,ADNI,AD_DECODE,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,ADRC,ADNI,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,ADRC,ADRC,diagonal_oof,ok,,,,,,,
imaging_only,ADRC,HABS,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,ADRC,AD_DECODE,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,HABS,ADNI,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,HABS,ADRC,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,HABS,HABS,diagonal_oof,ok,,,,,,,
imaging_only,HABS,AD_DECODE,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,AD_DECODE,ADNI,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,AD_DECODE,ADRC,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,AD_DECODE,HABS,external,ok,,3.0,3.0,4.0,4.0,1.0,1.0
imaging_only,AD_DECODE,AD_DECODE,diagonal_oof,ok,,,,,,,
