feature_set,group,metric,n_cells,min,median,mean,max,best_cell_min,worst_cell_max
full,diagonal_oof,MAE_raw,4,4.6972625876849206,6.063001497938227,6.886453375176278,10.722547917143736,HABS→HABS,AD_DECODE→AD_DECODE
full,diagonal_oof,RMSE_raw,4,6.030675005973258,7.810986883596852,8.661352508964015,12.992761262689095,ADNI→ADNI,AD_DECODE→AD_DECODE
full,diagonal_oof,R2_raw,4,0.1161447828791357,0.2793659649952531,0.2764837882648924,0.4310584401899276,ADNI→ADNI,HABS→HABS
full,diagonal_oof,r_raw,4,0.3542788567264876,0.5631551512794082,0.5344025196465076,0.6570209193007269,ADNI→ADNI,HABS→HABS
full,diagonal_oof,mean_abs_cBAG,4,1.3093435595461844,3.0531256141832865,2.7976977460181653,3.775196196159903,ADNI→ADNI,ADRC→ADRC
full,diagonal_oof,cBAG_age_slope,4,-3.7375180226101255e-16,-8.212272837634244e-17,-5.207586269600513e-17,3.2969380822967686e-16,ADNI→ADNI,HABS→HABS
full,external_transfer,MAE_raw,6,8.639810235408746,15.030797403776354,14.608410463249873,21.60160136299948,HABS→ADNI,ADRC→ADNI
full,external_transfer,RMSE_raw,6,10.68106176101392,20.12041443570847,19.704113276995354,32.19724733414138,ADNI→HABS,HABS→ADRC
full,external_transfer,R2_raw,6,-12.882200273764342,-3.09644707627697,-4.666007459497829,-0.5746262983553068,ADRC→ADNI,ADNI→HABS
full,external_transfer,r_raw,6,0.0251172433110874,0.2894272831016015,0.27579952543156316,0.4148284659514374,HABS→ADRC,ADRC→HABS
full,external_transfer,mean_abs_cBAG,6,3.4568989429442523,6.864305615223712,6.726710401660792,9.590935123446142,ADNI→HABS,ADRC→HABS
full,external_transfer,cBAG_age_slope,6,-0.3821285107464909,0.0750087808546185,0.00026781934272925484,0.2090867465292316,HABS→ADRC,ADRC→HABS
full_no_cardiovascular,diagonal_oof,MAE_raw,4,4.762861557090388,6.036530226778536,6.678515407276622,9.878139618459029,ADNI→ADNI,AD_DECODE→AD_DECODE
full_no_cardiovascular,diagonal_oof,RMSE_raw,4,6.102206428487037,7.647266999725731,8.56534312887569,12.864632087564258,ADNI→ADNI,AD_DECODE→AD_DECODE
full_no_cardiovascular,diagonal_oof,R2_raw,4,0.0950531552497505,0.3201071436966706,0.28516861362131374,0.4054070118421632,ADNI→ADNI,HABS→HABS
